world,axis,axis_value,axis_label,variant,n,permanence,permanence_ci_lo,permanence_ci_hi,robust,capture,welfare,containment_events,containment_timer_activity
W6_mutation_corridor,adversarial_pressure,1.4,adversarial_pressure=1.40,C_full,80,0.175,0.10720538981609888,0.2725774387558749,False,0.5484587143583585,0.9333806055759102,139.775,13.6125
W6_mutation_corridor,adversarial_pressure,1.6,adversarial_pressure=1.60,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.642179596408022,0.005034329180917102,0.0,0.0
W6_mutation_corridor,adversarial_pressure,1.6,adversarial_pressure=1.60,C_dyn_only,80,0.075,0.03482477485108787,0.15412200097380097,False,0.5667838616850185,0.9336913090969408,153.85,13.975
W6_mutation_corridor,adversarial_pressure,1.6,adversarial_pressure=1.60,C_full,80,0.075,0.03482477485108787,0.15412200097380097,False,0.5718387111586016,0.9330820123008422,154.5125,14.1375
W6_mutation_corridor,adversarial_pressure,1.8,adversarial_pressure=1.80,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.6531646955242595,0.002893253244053949,0.0,0.0
W6_mutation_corridor,adversarial_pressure,1.8,adversarial_pressure=1.80,C_dyn_only,80,0.1125,0.06032618694827016,0.20018410865677552,False,0.5690961997725893,0.9369572871519966,165.025,12.6
W6_mutation_corridor,adversarial_pressure,1.8,adversarial_pressure=1.80,C_full,80,0.1,0.05154699917768554,0.18510878983397458,False,0.579788265242588,0.9323872948095959,164.55,14.4
W6_mutation_corridor,default,0.0,default,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.7001583626085968,0.014017872285358262,0.0,0.0
W6_mutation_corridor,default,0.0,default,C_dyn_only,80,1.0,0.954180263735425,1.0,True,0.4043051956713374,0.9546786590323233,83.6,7.1
W6_mutation_corridor,default,0.0,default,C_full,80,1.0,0.954180263735425,1.0,True,0.40847923911861084,0.9511896399376545,83.2,6.9875
